VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
1,1/1/18 0:35,1/1/18 1:04,N,5,136,243,4,4.8,0,0,0,0,0,0,0,2
2,1/1/18 0:37,1/1/18 0:51,N,1,223,53,1,6.47,20,0.5,0.5,0,0,0.3,21.3,2
2,1/1/18 0:26,1/1/18 1:03,N,1,97,143,1,7.27,29,0.5,0.5,4.54,0,0.3,34.84,1
2,1/1/18 0:13,1/1/18 0:13,N,1,42,42,1,0.02,2.5,0.5,0.5,0,0,0.3,3.8,2
2,1/1/18 0:40,1/1/18 0:52,N,1,7,145,1,2.41,11,0.5,0.5,2.46,0,0.3,14.76,1
2,1/1/18 0:56,1/1/18 1:07,N,1,226,82,6,1.68,9,0.5,0.5,0,0,0.3,10.3,2
1,1/1/18 0:24,1/1/18 0:40,N,1,17,25,2,2.6,12.5,0.5,0.5,5,0,0.3,18.8,1
2,1/1/18 0:22,1/1/18 0:29,N,1,25,97,1,0.97,6,0.5,0.5,1.46,0,0.3,8.76,1
2,1/1/18 0:43,1/1/18 0:46,N,1,181,257,1,0.86,5,0.5,0.5,0,0,0.3,6.3,2
2,1/1/18 0:59,1/1/18 1:15,N,1,181,211,1,3.77,15.5,0.5,0.5,2.2,0,0.3,19,1
2,1/1/18 0:42,1/1/18 0:48,N,1,134,134,1,1.04,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:26,1/1/18 0:32,N,1,25,25,1,0.88,5.5,0.5,0.5,0,0,0.3,6.8,2
2,1/1/18 0:36,1/1/18 0:42,N,1,181,181,1,0.97,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:50,1/1/18 0:59,N,1,181,181,1,1.3,7.5,0.5,0.5,0,0,0.3,8.8,2
1,1/1/18 0:04,1/1/18 0:23,N,1,256,62,1,3.4,15,0.5,0.5,0,0,0.3,16.3,2
1,1/1/18 0:26,1/1/18 0:37,N,1,62,35,1,2.2,10,0.5,0.5,0,0,0.3,11.3,2
2,1/1/18 0:27,1/1/18 0:41,N,1,236,143,1,3.34,13.5,0.5,0.5,3.7,0,0.3,18.5,1
